ID,X,Y,Z,Node,Drawdown_p,Drawdown_r
232,263741.1434,2744380.058,95.19695938,12154,-2.191009167,-1.770424014
233,263596.0856,2744386.176,95.17424684,12170,-1.152723588,-1.125692817
234,263776.5247,2744379.058,95.16114709,12175,-1.718137918,-1.053658602
235,263558.3492,2744388.589,95.09941799,12186,-0.423608917,-0.397468216
236,263861.6323,2744325.758,95.05556048,12201,-0.651834864,-0.486512992
237,263651.0342,2744390.769,94.96534677,12237,-1.84154011,-1.751420042
238,263827.0958,2744356.264,94.93882904,12244,-0.770596217,-0.567223444
239,263686.4155,2744389.77,94.92953448,12249,-2.044117484,-1.895029972
240,263721.7968,2744388.77,94.89372218,12259,-2.017846744,-1.609798111
241,263613.2978,2744393.182,94.89051792,12261,-1.311907041,-1.22593701
242,263926.5538,2744293.648,94.86784606,12278,-0.403096715,-0.298238573
243,263757.1781,2744387.77,94.85790989,12286,-1.619907617,-1.004346271
244,263792.5593,2744386.771,94.8220976,12302,-0.786537567,-0.560736064
245,263575.5614,2744395.595,94.81568907,12307,-0.595926072,-0.495782411
246,263537.825,2744398.007,94.74086022,12322,-0.263720202,-0.243497324
247,263453.2779,2744271.011,94.68828609,12341,-0.293130929,-0.252820865
248,263500.0885,2744400.42,94.66603137,12358,-0.239808958,-0.220030903
249,263667.0688,2744398.482,94.62629728,12372,-1.735919116,-1.438837021
250,263630.51,2744400.188,94.606789,12378,-1.414827351,-1.191508666
251,263702.4501,2744397.482,94.59048499,12385,-1.746680019,-1.343478289
252,263843.7343,2744348.836,94.58859389,12386,-0.644967004,-0.490760541
253,263737.8314,2744396.483,94.55467269,12399,-1.327086046,-0.919868082
254,263592.7735,2744402.601,94.53196015,12407,-0.848894401,-0.708876214
255,263773.2127,2744395.483,94.5188604,12414,-0.82839367,-0.634740669
256,263809.1978,2744379.342,94.47186244,12433,-0.699554812,-0.523439367
257,263555.0371,2744405.013,94.4571313,12437,-0.329677679,-0.309831137
258,263894.9092,2744310.901,94.35509018,12466,-0.507225961,-0.379610645
259,263647.7221,2744407.194,94.32306008,12477,-1.217240452,-1.003934027
260,263683.1034,2744406.194,94.28724779,12489,-1.316937551,-1.024222662
261,263718.4847,2744405.195,94.25143549,12502,-1.021147336,-0.853312716
262,263609.9857,2744409.607,94.24823123,12506,-0.884903663,-0.731623306
263,263860.3728,2744341.407,94.23835873,12510,-0.54748598,-0.418528562
264,263753.866,2744404.195,94.2156232,12521,-0.850678607,-0.684249725
265,263789.4583,2744402.845,94.20293177,12528,-0.544572232,-0.429428765
266,263572.2493,2744412.019,94.17340238,12545,-0.401000143,-0.363378089
267,263807.6023,2744395.003,94.16255766,12549,-0.520623267,-0.400523718
268,263825.8363,2744371.913,94.12162729,12569,-0.592065569,-0.452380321
269,263534.5129,2744414.432,94.09857353,12579,-0.250277016,-0.23024766
270,263472.5167,2744353.264,94.06065715,12595,-0.236565335,-0.216368505
271,263663.7568,2744414.907,93.98401059,12626,-0.896006493,-0.789994757
272,263627.1979,2744416.613,93.96450231,12635,-0.745069626,-0.679859277
273,263699.1381,2744413.907,93.9481983,12638,-0.908738584,-0.789226735
274,263734.5194,2744412.907,93.912386,12650,-0.792517369,-0.653889168
275,263770.1116,2744411.557,93.89969458,12653,-0.591942187,-0.477750823
276,264050.7627,2744263.682,93.89560281,12655,-0.187612941,-0.150235244
277,263589.4615,2744419.025,93.88967346,12659,-0.468584038,-0.429083181
278,263551.7251,2744421.438,93.81484461,12690,-0.258910856,-0.238211974
279,263824.2408,2744387.574,93.8123225,12694,-0.43344448,-0.344380199
280,263842.4747,2744364.484,93.77139214,12712,-0.523410297,-0.403491163
281,263644.4101,2744423.619,93.68077339,12742,-0.718890147,-0.647567484
282,263679.7914,2744422.619,93.6449611,12755,-0.778332533,-0.690358732
283,263715.1727,2744421.62,93.60914881,12764,-0.720401779,-0.611676284
284,263606.6737,2744426.032,93.60594454,12767,-0.518333902,-0.473210059
285,263750.765,2744420.269,93.59645738,12774,-0.62540844,-0.514758746
286,263786.3572,2744418.919,93.58376595,12780,-0.415328937,-0.340316307
287,263804.5013,2744411.077,93.54339184,12793,-0.408256733,-0.332273782
